StationId,Datetime,PM2.5,PM10,NO,NO2,NOx,CO,O3,AQI,AQI_Bucket
DL012,26/09/17 16:00,114.33,138.57,15.4,30.73,0.0,0.9,73.94,164.0,Moderate
DL012,26/09/17 17:00,137.0,162.35,15.17,31.08,0.0,0.88,77.51,175.0,Moderate
DL012,26/09/17 18:00,109.99,135.96,15.42,30.7,0.0,0.9,73.76,180.0,Moderate
DL012,26/09/17 19:00,72.24,84.96,16.89,28.75,0.0,1.01,58.5,178.0,Moderate
DL012,26/09/17 20:00,48.96,58.08,22.77,23.74,0.0,1.45,33.71,173.0,Moderate
DL012,26/09/17 21:00,32.63,57.94,30.05,19.68,0.0,1.99,19.69,165.0,Moderate
DL012,26/09/17 22:00,46.78,70.52,30.49,19.48,0.0,2.03,19.54,160.0,Moderate
DL012,26/09/17 23:00,40.18,87.72,30.56,19.45,0.0,2.03,19.46,154.0,Moderate
DL012,27/09/17 0:00,63.15,96.43,30.52,19.47,0.0,2.03,19.49,153.0,Moderate
DL012,27/09/17 1:00,52.87,108.75,30.65,19.42,0.0,2.04,19.37,153.0,Moderate
DL012,27/09/17 2:00,79.64,155.65,30.76,19.38,0.0,2.05,19.27,156.0,Moderate
DL012,27/09/17 3:00,108.0,199.01,30.58,19.45,0.0,2.03,19.44,158.0,Moderate
DL012,27/09/17 4:00,122.28,212.0,30.85,19.35,0.0,2.05,19.19,164.0,Moderate
DL012,27/09/17 5:00,126.91,175.93,31.24,19.2,0.0,2.08,18.84,172.0,Moderate
DL012,27/09/17 6:00,154.86,170.45,31.3,19.18,0.0,2.09,18.78,185.0,Moderate
DL012,27/09/17 7:00,127.51,176.05,31.83,19.45,0.0,2.13,18.12,195.0,Moderate
DL012,27/09/17 8:00,75.48,160.94,29.94,19.72,0.0,1.99,20.19,198.0,Moderate
DL012,27/09/17 9:00,111.04,209.02,24.64,22.49,0.0,1.59,29.07,203.0,Poor
DL012,27/09/17 10:00,171.82,201.21,16.01,29.98,0.0,0.94,69.09,217.0,Poor
DL012,27/09/17 11:00,240.16,135.16,14.38,32.39,0.0,0.82,93.33,241.0,Poor
DL012,27/09/17 12:00,84.41,149.36,12.81,35.35,0.0,0.7,144.09,240.0,Poor
DL012,27/09/17 13:00,122.7,181.52,12.48,36.04,0.0,0.68,161.39,243.0,Poor
DL012,27/09/17 14:00,123.1,176.31,13.07,34.79,0.0,0.72,131.04,245.0,Poor
DL012,27/09/17 15:00,125.53,163.66,13.81,33.36,0.0,0.78,105.51,246.0,Poor
DL012,27/09/17 16:00,136.66,163.31,14.17,32.7,0.0,0.8,96.07,249.0,Poor
DL012,27/09/17 17:00,145.2,178.63,13.98,33.04,0.0,0.79,100.71,250.0,Poor
DL012,27/09/17 18:00,126.35,145.55,14.16,32.73,0.0,0.8,96.68,253.0,Poor
DL012,27/09/17 19:00,92.91,113.1,20.36,25.87,0.0,1.27,45.8,255.0,Poor
DL012,27/09/17 20:00,19.53,56.72,29.75,19.77,0.0,1.97,20.29,251.0,Poor
DL012,27/09/17 21:00,11.27,42.77,30.7,19.4,0.0,2.04,19.33,248.0,Poor
DL012,27/09/17 22:00,19.65,59.78,30.13,19.62,0.0,2.0,19.88,245.0,Poor
DL012,27/09/17 23:00,45.31,131.77,30.42,19.51,0.0,2.02,19.6,245.0,Poor
DL012,28/09/17 0:00,54.23,116.5,30.72,19.4,0.0,2.04,19.32,244.0,Poor
DL012,28/09/17 1:00,59.4,115.53,30.64,19.43,0.0,2.04,19.39,245.0,Poor
DL012,28/09/17 2:00,73.56,150.57,31.19,19.22,0.0,2.08,18.88,244.0,Poor
DL012,28/09/17 3:00,63.41,116.89,31.5,19.11,0.0,2.1,18.61,238.0,Poor
DL012,28/09/17 4:00,46.03,87.27,31.75,19.02,0.0,2.12,18.39,227.0,Poor
DL012,28/09/17 5:00,49.71,80.86,31.29,19.19,0.0,2.09,18.79,217.0,Poor
DL012,28/09/17 6:00,75.36,88.71,31.05,19.27,0.0,2.07,19.01,206.0,Poor
DL012,28/09/17 7:00,15.11,111.62,31.37,20.08,0.0,2.09,17.32,190.0,Moderate
DL012,28/09/17 18:00,123.98,149.6,14.07,32.96,0.0,0.8,94.53,132.0,Moderate
DL012,28/09/17 19:00,84.1,101.57,15.44,30.75,0.0,0.9,75.44,132.0,Moderate
DL012,28/09/17 20:00,54.2,58.4,19.17,26.57,0.0,1.18,47.4,132.0,Moderate
DL012,28/09/17 21:00,28.26,45.98,29.31,20.02,0.0,1.94,21.05,127.0,Moderate
DL012,28/09/17 22:00,42.94,69.39,30.67,19.41,0.0,2.04,19.35,116.0,Moderate
DL012,28/09/17 23:00,34.08,95.19,30.35,19.53,0.0,2.02,19.66,116.0,Moderate
DL012,29/09/17 0:00,73.43,105.88,30.6,19.44,0.0,2.04,19.42,113.0,Moderate
DL012,29/09/17 1:00,68.88,118.52,31.27,19.19,0.0,2.09,18.8,111.0,Moderate
DL012,29/09/17 2:00,50.23,91.31,31.38,19.16,0.0,2.09,18.71,110.0,Moderate
DL012,29/09/17 3:00,65.95,100.44,31.31,19.18,0.0,2.09,18.77,109.0,Moderate
DL012,29/09/17 4:00,65.97,133.66,30.71,19.4,0.0,2.04,19.32,111.0,Moderate
DL012,29/09/17 5:00,106.26,157.84,31.21,19.22,0.0,2.08,18.87,113.0,Moderate
DL012,29/09/17 6:00,97.12,115.13,30.83,19.35,0.0,2.05,19.21,113.0,Moderate
DL012,29/09/17 7:00,74.76,103.35,32.42,19.58,0.0,2.17,17.76,113.0,Moderate
DL012,29/09/17 8:00,74.91,75.08,28.37,20.42,0.0,1.87,22.12,112.0,Moderate
DL012,29/09/17 9:00,54.43,68.65,23.08,23.23,0.0,1.47,30.96,129.0,Moderate
